run_id,event_count,event_types,source_log_sha256,projection_sha256,attempt_status,source_manifest_sha256
F08-T01-A-R1,5,"{'run_completed': 1, 'run_started': 1, 'tool_call': 3}",711ad147e8dbe2e5f0c2b16ac7a8a9560964b7e54d58e5c4deb47da557c737fe,dacfae1a61fb8b5f71f0fb0a8a1daf2912fd52e8941a562311ad774540569c37,scored,9adab3c0fda442fa59b88dea7034320b761fc358c0bbd9838e3814cc0dc8b921
F08-T01-A-R2,5,"{'run_completed': 1, 'run_started': 1, 'tool_call': 3}",5f23b11671af1fcaae0eef57cf532b605585c269a807c28fab3c90d9449ab866,a58cb5ada1d5a711d522a165ff12e09e7834c4a17bc06dd8193dcdded9769c99,scored,c1fa359861ec66dd6d7edcd91e0d6946986fa992910db11cdc0a8e56b16aa876
F08-T01-A-R3,5,"{'run_completed': 1, 'run_started': 1, 'tool_call': 3}",2c70802ce025d3a46af7d522f1ce35719ae01c866e4775781c5f208b93f5e05f,92b6dfde22a42ee78661ca9a5d965c419b973076cc72d58e442b757b17801bab,scored,e2d56e3c9670ed2b9326dffbef5b041cc8391b9310c9255392c6217bcb03b40c
F08-T01-B-R1,5,"{'run_completed': 1, 'run_started': 1, 'tool_call': 3}",7c94a0f6fc68f84ab5563d339e3d98acce3611e9fabca383fd3ef532fcfad94d,151acad114f5d1b85d413be0cd9b601be3d5784a9baaec18434f75df3fd8ae67,scored,c91441623e850c9f663b78d92d535803b636a99ac72ab889f166ae3cb4716504
F08-T01-B-R2,5,"{'run_completed': 1, 'run_started': 1, 'tool_call': 3}",0ff4f50d0e58d1bf79d7500cc4bc0ab7594158bc05eed873c3524935911cb953,6abfd4e9a6cec21d72e0a4c368aa5bcd378aae000ef8ad547f519123e3051851,scored,15ae6e4bc40560480289680b0973abf64e3367509eac40eb676e0984f3deeadd
F08-T01-B-R3,5,"{'run_completed': 1, 'run_started': 1, 'tool_call': 3}",abd3030a26af3ed40a7cf23b2217b3bab1aa106321c7fd81b83e023b8ba87d9a,96b9eb1e530dfe4fc5920068d87a1bd7866a64d624f6353cfc6e403dc9bf9fb3,scored,05057e9c68ba0d499ec3e7bd49e74e4afcdf99f00c5d79959121c8316b29dc34
F08-T01-C-R1,5,"{'run_completed': 1, 'run_started': 1, 'tool_call': 3}",2f34ee5de0faca41fb2a11914a28303956add34a8395a8f67d1d51902d53ba2e,f940afcccfcdb22a7dc1bdb1e557869eeaa71e593f6f67f8a63fb43ad2bbd15a,scored,ab130f4e745ef8ef08ad78ec92ad0d5a188ee108fdb3c3534a23709533e0f887
F08-T01-C-R2,5,"{'run_completed': 1, 'run_started': 1, 'tool_call': 3}",569ae37331e23192bd1e437c7ec4b73e330e7ca79f5b2a1d2b71419ebf584a85,6b59eb75d5e14bd5898a914394faaefde4c0a00251697e4ceb101e7c41233778,scored,2279fe47876e8152caba09a0a24215b3173cf4ac3ddf6b5a882abc81d261ab48
F08-T01-C-R3,5,"{'run_completed': 1, 'run_started': 1, 'tool_call': 3}",b0dcd5245d1ab973c283839209fa6b6bf74724d3534eecce1b9daa7df8562855,a41e60d59a7a83bffa91c5eea3ddf7d0dfe41c01637ec9015a0703f623dc6f37,scored,30d0e5d8c8a06b73bb60fb20f456abdd11c7f3a7aa8ca9c368b1e4ddc4fce812
F08-T02-A-R1,5,"{'run_completed': 1, 'run_started': 1, 'tool_call': 3}",fc92279a521f85d223984dd521137ab9a472149ae4c7f9c5b59eac88ec8fe6e6,6ab8cb117fa963f0d68c31e1c58590909cc523c85b63db1d98a1e53ffa85e0ec,scored,06f54804b6d5818867767b93f2c59f1427746c35231534f2d2564f1c435e39b8
F08-T02-A-R2,5,"{'run_completed': 1, 'run_started': 1, 'tool_call': 3}",d3b23db64684db5cdfa5a70b90d3ca2ed3093720d33850ff88272abca42d7569,f095240b24f7b890f6a7f1d262ed173a896048680faefb0997737a877f8af62b,scored,bca8ab84c627698eb8be28bfe5df17303399a8afd45b16dd94b2e35a81838129
F08-T02-A-R3,5,"{'run_completed': 1, 'run_started': 1, 'tool_call': 3}",de5d102c1a94aaa5eef31ce8bf6972da7fce1e688602cd9d31401b081e369110,a6714b2adaf4c804879b8c1d683cadc6dea06d3a5e1e0fe79e6b65ffe51740c6,scored,4a0a4e7e0bb7cf32656477fd22bc36a47210e211ef007146e2022e5ef373fc2e
F08-T02-B-R1,5,"{'run_completed': 1, 'run_started': 1, 'tool_call': 3}",c8e7876dfb5c1b7d956d0ad3a465c7f18ba56eb6981eeef4c9df8ba03002bb38,ee920043b79ea4c3646ed89619c5c575f7782d6005cc79dbf78fcbce1bb1d51f,scored,59df635820d0e67c5a2882416632024acf08b3b0aedae02bc8ed1aaa16f9e70a
F08-T02-B-R2,5,"{'run_completed': 1, 'run_started': 1, 'tool_call': 3}",f0309e7114818fb98a3b0d9e7108467c8ecaa046f9e5a18b8250dcc0d44baaec,e4582a3df5554fed85884e350f880b883337188c9d19075ce8720262bbfadf65,scored,6dde58e3ede7da1de7be45739ec99f2dcd20b2a085b97079ee678ec7d74ceb74
