run_id,event_count,event_types,source_log_sha256,projection_sha256,attempt_status,source_manifest_sha256
CB08-T01-A-R1,4,"{'run_completed': 1, 'run_started': 1, 'tool_call': 2}",e7c03bff4db8249f970e1f5b1be8baa03ffb88f2e78bb763827734083578ef3e,2b425851d8b737c5c29bae4322f9db3fc1a70dc56197b2273543eac7fc91252f,scored,1fb047a5158515e48553226414c85bae3764a4746b3ff979c7f02c321deccf0d
CB08-T01-A-R2,4,"{'run_completed': 1, 'run_started': 1, 'tool_call': 2}",7e6aa08d8d9b1ba6ff3d22c4d0edf96779ff782fb6a61406e197d90c71178fb1,627f162cfe3ffe8453e351fdfc1b9b00dde334b55f77e3939684f1125bc80d67,scored,db4038455b6aa6c5d0e5916630dfd6d105d187e1ff2420a5f60ef6fc7e85d4fa
CB08-T01-B-R1,4,"{'run_completed': 1, 'run_started': 1, 'tool_call': 2}",884ea05fca2f3154613dbf087ff4952064155118e531418073bd0169c000e05c,2eefeb372c477cce670db7e24a8da774991e17d6e1398e7e80164e0a14edbd93,scored,2a055da641001f17e7dfb3a67bd98f12c328c9ccdafc65c10626551fec80fef0
CB08-T01-B-R2,4,"{'run_completed': 1, 'run_started': 1, 'tool_call': 2}",1e9c47388a1fca571e8f22a3681fb91eed0e8709f6ef73a15c3ec16573806416,f80a2914edafd9b3c57e175f9da54e2f8fad0169aaa343944bfd955cc08eeb19,scored,cfc162cf4a357db1d7da6e4c8e16bd23f1945ef41aea33d19c9d70624dcab305
CB08-T01-C-R1,4,"{'run_completed': 1, 'run_started': 1, 'tool_call': 2}",2fef86b694f61aee344c02b56826613042dc02665392c556be4d208d6ad6e34c,96cf7d542427f85343d5f61fe2da7f375796ce1abfc4aca8e344cc58ec4efb98,scored,5576a4bef916fceead595ef66a3762a86bcea485a93980a0985c1f651b7e1d4b
CB08-T01-C-R2,4,"{'run_completed': 1, 'run_started': 1, 'tool_call': 2}",5eca5c96cd57e62e2a300e32b12c99b2307b116e28f82f8d5b6b49a4c1966fd0,9b2ebb942ec32282993dde83f1b124ff1305cb7c383daebb0a79f8c6ed5301a6,scored,a90c6892fab85177791a4087db4c286112f7e7aa5c535861ac0d9b842bb33c91
CB08-T02-A-R1,4,"{'run_completed': 1, 'run_started': 1, 'tool_call': 2}",45897514f346fcc4309f2382c18295563966d05bbb17f5db6d8b1b8bb4538b3b,b0cd28d2ba74db131cd9c93efc4fcaac7a9d4e8b7043fea016f12e3786560eb5,scored,31e0617cb157fc108ae79516a74bc63c1fba3fa4e2160689446f40a09a4cd9ae
CB08-T02-A-R2,4,"{'run_completed': 1, 'run_started': 1, 'tool_call': 2}",505a8c191f74506daa3a1e3dae0987a822e5dae31fdece0c1489db221ada1c07,6597384805c8a9439920cd5128e41df889acc13039dc154d38c19d1774499091,scored,5f52d58cd0d2e94471b1a8617572ea16671789830aa3c58957d6b7dbf44ada0f
CB08-T02-B-R1,4,"{'run_completed': 1, 'run_started': 1, 'tool_call': 2}",c2ed0169516ed25831b45194ebcf32783ae7af2e4ae836ac369f3d8fd7670bd8,e400ae1ca089ea12659c074c2a79eb5f1a8158e8bf39ebe794c9731b81d2bfb8,scored,195803b4a2f6e094c27b526752462a1a54b7af3e5f769c43a517f11a12ac25aa
CB08-T02-B-R2,4,"{'run_completed': 1, 'run_started': 1, 'tool_call': 2}",27dfffb1c37a73eb4bd92b796a0bcf542e50ccc786887e2be5043c3d65340d18,faf5d9db61522407f6fa27a91e3229cb34cdcc6363d885a0405e464da71df88d,scored,5aee26cbfa0682859258a181d20ee86740061c36f87651509914d5665c57b58e
